day,month,year,obs,ACCESS1,CCSM4,CNRM,MPI-REMo,MPI,SMHI
1,1,1976,0,9.174181938,0,0,3.17E-09,0.102016002,59.4909668
2,1,1976,0,32.51077652,0,0,2.14E-07,0.132991701,3.625488281
3,1,1976,0,57.42414856,0,0,0.002708886,0.12445733,0
4,1,1976,0,19.53258896,0.072840869,0.411346674,0.659587677,0.037659895,0
5,1,1976,0,0.138951331,0.032331802,0.155344561,0.030043018,0.05724933,0.164794922
6,1,1976,0,0,0,0.120874248,0.488921074,0.052767076,0
7,1,1976,0,0.004657764,0.167040795,0.741938114,3.620203596,0.018331731,0
8,1,1976,0,0,0.303084642,0.668156147,12.74756338,0,0
9,1,1976,0,0,0.004004234,0.436645269,25.86499248,0.057285577,0
10,1,1976,0,0,0.006147106,0.439525366,0.816825291,0.040880341,0
11,1,1976,0,0.162605822,0.013049529,1.090909719,7.09E-07,0.00487006,0
12,1,1976,0,0.07481768,0,0.016470686,0.001830526,0.013874691,0
13,1,1976,0,0,0,0,0.000582645,0.036044657,0
14,1,1976,0,0.009387148,0,0,2.15E-08,0.009406075,0
15,1,1976,0,0.125734776,0.015768532,0,9.97E-06,0,0
16,1,1976,0,0.087795123,0.051425956,0.140014648,4.35E-08,0,0
17,1,1976,0,0,0,16.62352371,4.06E-13,0,0
18,1,1976,0,0,0,0.97430408,1.85E-12,0.004460765,0
19,1,1976,0,0.001022906,0.026100306,0,4.18E-07,0,0
20,1,1976,0,0.006553277,0,0,7.24E-08,0,0
21,1,1976,0,0,0.003805813,0,1.06E-07,0,0
22,1,1976,0,0,0,0,3.57E-07,0,0
23,1,1976,0,0.002211309,0,2.023453712,6.87E-08,0,0
24,1,1976,0,0.144631311,0,0.00653085,1.09E-07,0,0
25,1,1976,0,0.144664899,0,0.015632624,5.61E-08,0,0
26,1,1976,0,0,0,0,6.43E-06,0.007196738,0
27,1,1976,0,0.017807679,0,0,4.54E-11,0,0
28,1,1976,0,0,0,0.097714543,1.75E-10,0,0
29,1,1976,0,0,0,0.117364541,2.79E-05,0,0
30,1,1976,0,0,0.563637793,0,0.002983442,0.016835451,0
31,1,1976,0,0,0.003682316,0,6.51E-05,16.23584557,0
1,2,1976,0,1.005412579,0,0,0.001981849,1.220031738,0
2,2,1976,0,0.077084765,0,0.109937422,0.002239565,0.381096184,0
3,2,1976,0,0.674826145,0,0,0.000106542,0.013480558,0
4,2,1976,0,0.250849962,0.380231202,0,2.58E-13,0.078747943,0
5,2,1976,1,0.016538026,0.430964381,0,7.17E-09,0.042170614,0
6,2,1976,3,0,0,0,6.87E-09,27.71466064,0
7,2,1976,3,0.5,0,2.04688406,1.65E-09,11.21825886,0
8,2,1976,0,0.173171714,0,0.266235352,0.000274794,2.065714598,0
9,2,1976,0,0.158938617,0,0.060476724,0.009390208,0.188865274,0
10,2,1976,0,0,0,0,9.74E-08,0.059997559,0
11,2,1976,0,0.214237988,0,0,4.63E-06,2.048774004,9.310913086
12,2,1976,0,0,0,0,1.739115146,1.2033391,4.614257813
13,2,1976,0,14.94800949,0,0.011207221,48.00274707,0.011986452,0
14,2,1976,0,0.288494617,0.0839191,0.010721962,9.82E-10,0,0
15,2,1976,0,0,1.629285693,0,1.30E-05,0,0
